GPSTime,X-ECEF,Y-ECEF,Z-ECEF,VX-ECEF,VY-ECEF,VZ-ECEF
372660.840000,3509420.548640,779147.249007,5250975.023922,0.009516,-0.013165,-0.004513
372660.850000,3509420.548736,779147.248875,5250975.023876,0.009647,-0.013299,-0.004560
372660.860000,3509420.548833,779147.248742,5250975.023830,0.009859,-0.013286,-0.004573
372660.870000,3509420.548931,779147.248609,5250975.023784,0.009811,-0.013194,-0.004728
372660.880000,3509420.549029,779147.248477,5250975.023737,0.009798,-0.013256,-0.004652
372660.890000,3509420.549128,779147.248344,5250975.023691,0.009878,-0.013280,-0.004625
372660.900000,3509420.549227,779147.248212,5250975.023644,0.009861,-0.013168,-0.004730
372660.910000,3509420.549325,779147.248080,5250975.023596,0.009852,-0.013249,-0.004767
372660.920000,3509420.549423,779147.247948,5250975.023549,0.009801,-0.013245,-0.004762
372660.930000,3509420.549521,779147.247815,5250975.023501,0.009792,-0.013262,-0.004862
372660.940000,3509420.549619,779147.247682,5250975.023452,0.009780,-0.013375,-0.004936
372660.950000,3509420.549717,779147.247548,5250975.023403,0.009819,-0.013400,-0.004889
372660.960000,3509420.549816,779147.247414,5250975.023354,0.009841,-0.013421,-0.004874
372660.970000,3509420.549914,779147.247280,5250975.023305,0.009787,-0.013414,-0.004894
372660.980000,3509420.550012,779147.247145,5250975.023256,0.009854,-0.013442,-0.004843
372660.990000,3509420.550111,779147.247011,5250975.023208,0.009953,-0.013456,-0.004861
372661.000000,3509420.550210,779147.246876,5250975.023159,0.009962,-0.013552,-0.004917
372661.010000,3509420.550311,779147.246740,5250975.023110,0.010060,-0.013658,-0.004938
372661.020000,3509420.550411,779147.246604,5250975.023060,0.010050,-0.013558,-0.005055
372661.030000,3509420.550512,779147.246468,5250975.023009,0.010084,-0.013666,-0.005113
372661.040000,3509420.550613,779147.246331,5250975.022958,0.010142,-0.013709,-0.005023
372661.050000,3509420.550715,779147.246194,5250975.022907,0.010189,-0.013707,-0.005104
372661.060000,3509420.550817,779147.246056,5250975.022856,0.010244,-0.013862,-0.005147
372661.070000,3509420.550920,779147.245917,5250975.022805,0.010360,-0.013885,-0.005084
372661.080000,3509420.551023,779147.245778,5250975.022753,0.010312,-0.013893,-0.005259
372661.090000,3509420.551126,779147.245639,5250975.022700,0.010309,-0.013961,-0.005307
372661.100000,3509420.551230,779147.245499,5250975.022648,0.010448,-0.014094,-0.005184
372661.110000,3509420.551335,779147.245358,5250975.022596,0.010462,-0.014044,-0.005227
372661.120000,3509420.551439,779147.245217,5250975.022544,0.010504,-0.014084,-0.005167
372661.130000,3509420.551545,779147.245076,5250975.022493,0.010620,-0.014102,-0.005099
372661.140000,3509420.551652,779147.244935,5250975.022441,0.010686,-0.014101,-0.005237
372661.150000,3509420.551759,779147.244794,5250975.022388,0.010766,-0.014167,-0.005268
372661.160000,3509420.551867,779147.244652,5250975.022336,0.010889,-0.014181,-0.005228
372661.170000,3509420.551976,779147.244511,5250975.022283,0.010888,-0.014163,-0.005291
372661.180000,3509420.552085,779147.244368,5250975.022231,0.010865,-0.014254,-0.005238
372661.190000,3509420.552194,779147.244226,5250975.022178,0.011044,-0.014313,-0.005221
372661.200000,3509420.552305,779147.244082,5250975.022126,0.011003,-0.014370,-0.005245
372661.210000,3509420.552414,779147.243938,5250975.022074,0.010982,-0.014429,-0.005177
372661.220000,3509420.552524,779147.243794,5250975.022022,0.011004,-0.014430,-0.005213
372661.230000,3509420.552635,779147.243650,5250975.021969,0.011052,-0.014373,-0.005320
372661.240000,3509420.552745,779147.243506,5250975.021916,0.010988,-0.014443,-0.005256
372661.250000,3509420.552855,779147.243361,5250975.021864,0.011087,-0.014568,-0.005248
372661.260000,3509420.552966,779147.243215,5250975.021811,0.011062,-0.014527,-0.005280
372661.270000,3509420.553077,779147.243070,5250975.021759,0.011155,-0.014601,-0.005205
